plant_name,season,region,watering_frequency,water_amount_liters,fertilizer_type,fertilizer_amount,nitrogen_requirement,phosphorus_requirement,potassium_requirement,micronutrients_required,sunlight_requirement,temperature_range_celsius,humidity_range_percent,wind_tolerance,care_instructions
Mango,Autumn,Andhra Pradesh,Every 5-7 days,8-10 L,Farmyard Manure,5 kg/tree,Medium,Medium,High,Zinc; Iron,Full Sun,21-33°C,55-75%,Medium,Prepare tree for flowering.
Mango,Autumn,Bihar,Every 5-7 days,8-10 L,Farmyard Manure,5 kg/tree,Medium,Medium,High,Zinc; Iron,Full Sun,21-33°C,55-75%,Medium,Prepare tree for flowering.
Mango,Autumn,Karnataka,Every 5-7 days,8-10 L,Farmyard Manure,5 kg/tree,Medium,Medium,High,Zinc; Iron,Full Sun,19-31°C,55-75%,Medium,Prepare tree for flowering.
Mango,Windy,Tamil Nadu,Every 3-4 days,10-15 L,NPK 10-10-10,250 g/tree,Medium,Medium,High,Boron; Calcium,Full Sun,20-35°C,45-75%,Medium,Protect young branches from strong winds.
Mango,Windy,Uttar Pradesh,Every 3-4 days,10-15 L,NPK 10-10-10,250 g/tree,Medium,Medium,High,Boron; Calcium,Full Sun,22-37°C,35-65%,Medium,Protect young branches from strong winds.
Mango,Windy,Andhra Pradesh,Every 3-4 days,10-15 L,NPK 10-10-10,250 g/tree,Medium,Medium,High,Boron; Calcium,Full Sun,21-36°C,45-75%,Medium,Protect young branches from strong winds.
Mango,Windy,Bihar,Every 3-4 days,10-15 L,NPK 10-10-10,250 g/tree,Medium,Medium,High,Boron; Calcium,Full Sun,21-36°C,45-75%,Medium,Protect young branches from strong winds.
Mango,Windy,Karnataka,Every 3-4 days,10-15 L,NPK 10-10-10,250 g/tree,Medium,Medium,High,Boron; Calcium,Full Sun,19-34°C,45-75%,Medium,Protect young branches from strong winds.
Lichi,Summer,Bihar,Every 3-4 days,10-15 L,Fruit Fertilizer,400 g/tree,Medium,High,High,Potassium; Zinc; Boron,Full Sun,26-39°C,55-75%,Medium,Maintain watering during fruit growth.
Lichi,Summer,West Bengal,Every 3-4 days,10-15 L,Fruit Fertilizer,400 g/tree,Medium,High,High,Potassium; Zinc; Boron,Full Sun,25-38°C,60-80%,Medium,Maintain watering during fruit growth.
Lichi,Summer,Uttarakhand,Every 3-4 days,10-15 L,Fruit Fertilizer,400 g/tree,Medium,High,High,Potassium; Zinc; Boron,Full Sun,20-33°C,50-70%,Medium,Maintain watering during fruit growth.
Lichi,Summer,Punjab,Every 3-4 days,10-15 L,Fruit Fertilizer,400 g/tree,Medium,High,High,Potassium; Zinc; Boron,Full Sun,27-40°C,45-65%,Medium,Maintain watering during fruit growth.
Lichi,Summer,Tripura,Every 3-4 days,10-15 L,Fruit Fertilizer,400 g/tree,Medium,High,High,Potassium; Zinc; Boron,Full Sun,24-37°C,62-82%,Medium,Maintain watering during fruit growth.
Lichi,Winter,Bihar,Every 10-15 days,5 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,11-26°C,45-65%,Medium,Reduce irrigation during winter.
Lichi,Winter,West Bengal,Every 10-15 days,5 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,10-25°C,50-70%,Medium,Reduce irrigation during winter.
Lichi,Winter,Uttarakhand,Every 10-15 days,5 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,5-20°C,40-60%,Medium,Reduce irrigation during winter.
Lichi,Winter,Punjab,Every 10-15 days,5 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,12-27°C,35-55%,Medium,Reduce irrigation during winter.
Lichi,Winter,Tripura,Every 10-15 days,5 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,9-24°C,52-72%,Medium,Reduce irrigation during winter.
Lichi,Monsoon,Bihar,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Iron; Zinc,Full Sun,23-33°C,75-95%,Medium,Prevent water stagnation.
Lichi,Monsoon,West Bengal,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Iron; Zinc,Full Sun,22-32°C,80-100%,Medium,Prevent water stagnation.
Lichi,Monsoon,Uttarakhand,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Iron; Zinc,Full Sun,17-27°C,70-90%,Medium,Prevent water stagnation.
Lichi,Monsoon,Punjab,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Iron; Zinc,Full Sun,24-34°C,65-85%,Medium,Prevent water stagnation.
Lichi,Monsoon,Tripura,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Iron; Zinc,Full Sun,21-31°C,82-100%,Medium,Prevent water stagnation.
Lichi,Autumn,Bihar,Every 5-7 days,8 L,Fruit Fertilizer,300 g/tree,Medium,High,High,Boron; Potassium,Full Sun,19-31°C,55-75%,Medium,Support flowering preparation.
Lichi,Autumn,West Bengal,Every 5-7 days,8 L,Fruit Fertilizer,300 g/tree,Medium,High,High,Boron; Potassium,Full Sun,18-30°C,60-80%,Medium,Support flowering preparation.
Lichi,Autumn,Uttarakhand,Every 5-7 days,8 L,Fruit Fertilizer,300 g/tree,Medium,High,High,Boron; Potassium,Full Sun,13-25°C,50-70%,Medium,Support flowering preparation.
Lichi,Autumn,Punjab,Every 5-7 days,8 L,Fruit Fertilizer,300 g/tree,Medium,High,High,Boron; Potassium,Full Sun,20-32°C,45-65%,Medium,Support flowering preparation.
Lichi,Autumn,Tripura,Every 5-7 days,8 L,Fruit Fertilizer,300 g/tree,Medium,High,High,Boron; Potassium,Full Sun,17-29°C,62-82%,Medium,Support flowering preparation.
Lichi,Windy,Bihar,Every 5 days,10 L,Organic Compost,3 kg/tree,Medium,Medium,High,Calcium,Full Sun,21-36°C,45-65%,Medium,Protect young branches.
Lichi,Windy,West Bengal,Every 5 days,10 L,Organic Compost,3 kg/tree,Medium,Medium,High,Calcium,Full Sun,20-35°C,50-70%,Medium,Protect young branches.
Lichi,Windy,Uttarakhand,Every 5 days,10 L,Organic Compost,3 kg/tree,Medium,Medium,High,Calcium,Full Sun,15-30°C,40-60%,Medium,Protect young branches.
Lichi,Windy,Punjab,Every 5 days,10 L,Organic Compost,3 kg/tree,Medium,Medium,High,Calcium,Full Sun,22-37°C,35-55%,Medium,Protect young branches.
Lichi,Windy,Tripura,Every 5 days,10 L,Organic Compost,3 kg/tree,Medium,Medium,High,Calcium,Full Sun,19-34°C,52-72%,Medium,Protect young branches.
Strawberry,Summer,Himachal Pradesh,Every 2 days,1-2 L,Organic Compost,500 g/plant,Medium,High,Medium,Calcium; Potassium; Iron,Partial Sun,12-24°C,60-80%,Low,Keep soil moist during fruiting.
Strawberry,Summer,Maharashtra,Every 2 days,1-2 L,Organic Compost,500 g/plant,Medium,High,Medium,Calcium; Potassium; Iron,Partial Sun,19-31°C,60-80%,Low,Keep soil moist during fruiting.
Strawberry,Summer,Karnataka,Every 2 days,1-2 L,Organic Compost,500 g/plant,Medium,High,Medium,Calcium; Potassium; Iron,Partial Sun,17-29°C,65-85%,Low,Keep soil moist during fruiting.
Strawberry,Summer,Uttarakhand,Every 2 days,1-2 L,Organic Compost,500 g/plant,Medium,High,Medium,Calcium; Potassium; Iron,Partial Sun,13-25°C,60-80%,Low,Keep soil moist during fruiting.
Strawberry,Summer,West Bengal,Every 2 days,1-2 L,Organic Compost,500 g/plant,Medium,High,Medium,Calcium; Potassium; Iron,Partial Sun,18-30°C,70-90%,Low,Keep soil moist during fruiting.
Strawberry,Winter,Himachal Pradesh,Every 3-4 days,1 L,Fruit Fertilizer,20 g/plant/month,Medium,High,High,Calcium; Magnesium,Partial Sun,4-14°C,50-70%,Low,Best season for fruit production.
Strawberry,Winter,Maharashtra,Every 3-4 days,1 L,Fruit Fertilizer,20 g/plant/month,Medium,High,High,Calcium; Magnesium,Partial Sun,11-21°C,50-70%,Low,Best season for fruit production.
Strawberry,Winter,Karnataka,Every 3-4 days,1 L,Fruit Fertilizer,20 g/plant/month,Medium,High,High,Calcium; Magnesium,Partial Sun,9-19°C,55-75%,Low,Best season for fruit production.
Strawberry,Winter,Uttarakhand,Every 3-4 days,1 L,Fruit Fertilizer,20 g/plant/month,Medium,High,High,Calcium; Magnesium,Partial Sun,5-15°C,50-70%,Low,Best season for fruit production.
Strawberry,Winter,West Bengal,Every 3-4 days,1 L,Fruit Fertilizer,20 g/plant/month,Medium,High,High,Calcium; Magnesium,Partial Sun,10-20°C,60-80%,Low,Best season for fruit production.
Strawberry,Monsoon,Himachal Pradesh,Every 3-4 days,1 L,Vermicompost,300 g/plant,Medium,Medium,Medium,Iron; Zinc,Partial Sun,12-22°C,70-90%,Low,Ensure good drainage.
Strawberry,Monsoon,Maharashtra,Every 3-4 days,1 L,Vermicompost,300 g/plant,Medium,Medium,Medium,Iron; Zinc,Partial Sun,19-29°C,70-90%,Low,Ensure good drainage.
Strawberry,Monsoon,Karnataka,Every 3-4 days,1 L,Vermicompost,300 g/plant,Medium,Medium,Medium,Iron; Zinc,Partial Sun,17-27°C,75-95%,Low,Ensure good drainage.
Strawberry,Monsoon,Uttarakhand,Every 3-4 days,1 L,Vermicompost,300 g/plant,Medium,Medium,Medium,Iron; Zinc,Partial Sun,13-23°C,70-90%,Low,Ensure good drainage.
Strawberry,Monsoon,West Bengal,Every 3-4 days,1 L,Vermicompost,300 g/plant,Medium,Medium,Medium,Iron; Zinc,Partial Sun,18-28°C,80-100%,Low,Ensure good drainage.
Strawberry,Autumn,Himachal Pradesh,Every 2-3 days,1 L,Flowering Fertilizer,15 g/plant/month,Medium,High,Medium,Boron; Calcium,Partial Sun,9-19°C,60-80%,Low,Prepare plants for flowering.
Strawberry,Autumn,Maharashtra,Every 2-3 days,1 L,Flowering Fertilizer,15 g/plant/month,Medium,High,Medium,Boron; Calcium,Partial Sun,16-26°C,60-80%,Low,Prepare plants for flowering.
Strawberry,Autumn,Karnataka,Every 2-3 days,1 L,Flowering Fertilizer,15 g/plant/month,Medium,High,Medium,Boron; Calcium,Partial Sun,14-24°C,65-85%,Low,Prepare plants for flowering.
Strawberry,Autumn,Uttarakhand,Every 2-3 days,1 L,Flowering Fertilizer,15 g/plant/month,Medium,High,Medium,Boron; Calcium,Partial Sun,10-20°C,60-80%,Low,Prepare plants for flowering.
Strawberry,Autumn,West Bengal,Every 2-3 days,1 L,Flowering Fertilizer,15 g/plant/month,Medium,High,Medium,Boron; Calcium,Partial Sun,15-25°C,70-90%,Low,Prepare plants for flowering.
Strawberry,Windy,Himachal Pradesh,Every 2 days,1 L,Organic Compost,300 g/plant,Medium,Medium,Medium,Calcium,Partial Sun,9-22°C,50-70%,Low,Protect flowers from strong winds.
Strawberry,Windy,Maharashtra,Every 2 days,1 L,Organic Compost,300 g/plant,Medium,Medium,Medium,Calcium,Partial Sun,16-29°C,50-70%,Low,Protect flowers from strong winds.
Strawberry,Windy,Karnataka,Every 2 days,1 L,Organic Compost,300 g/plant,Medium,Medium,Medium,Calcium,Partial Sun,14-27°C,55-75%,Low,Protect flowers from strong winds.
Strawberry,Windy,Uttarakhand,Every 2 days,1 L,Organic Compost,300 g/plant,Medium,Medium,Medium,Calcium,Partial Sun,10-23°C,50-70%,Low,Protect flowers from strong winds.
Strawberry,Windy,West Bengal,Every 2 days,1 L,Organic Compost,300 g/plant,Medium,Medium,Medium,Calcium,Partial Sun,15-28°C,60-80%,Low,Protect flowers from strong winds.
Acanthocereus,Summer,Delhi,Every 10-14 days,0.5-1 L,Cactus Fertilizer,10 g/month,Low,Low,Medium,Calcium; Magnesium,Full Sun,28-43°C,10-40%,High,Allow soil to dry completely.
Acanthocereus,Summer,Maharashtra,Every 10-14 days,0.5-1 L,Cactus Fertilizer,10 g/month,Low,Low,Medium,Calcium; Magnesium,Full Sun,26-41°C,20-50%,High,Allow soil to dry completely.
Acanthocereus,Summer,Karnataka,Every 10-14 days,0.5-1 L,Cactus Fertilizer,10 g/month,Low,Low,Medium,Calcium; Magnesium,Full Sun,24-39°C,25-55%,High,Allow soil to dry completely.
Acanthocereus,Summer,West Bengal,Every 10-14 days,0.5-1 L,Cactus Fertilizer,10 g/month,Low,Low,Medium,Calcium; Magnesium,Full Sun,25-40°C,30-60%,High,Allow soil to dry completely.
Acanthocereus,Summer,Tamil Nadu,Every 10-14 days,0.5-1 L,Cactus Fertilizer,10 g/month,Low,Low,Medium,Calcium; Magnesium,Full Sun,25-40°C,25-55%,High,Allow soil to dry completely.
Acanthocereus,Winter,Delhi,Every 20-30 days,0.2-0.5 L,,,Low,Low,Low,,Full Sun,13-25°C,10-30%,High,Keep dry during dormancy.
Acanthocereus,Winter,Maharashtra,Every 20-30 days,0.2-0.5 L,,,Low,Low,Low,,Full Sun,11-23°C,20-40%,High,Keep dry during dormancy.
Acanthocereus,Winter,Karnataka,Every 20-30 days,0.2-0.5 L,,,Low,Low,Low,,Full Sun,9-21°C,25-45%,High,Keep dry during dormancy.
Acanthocereus,Winter,West Bengal,Every 20-30 days,0.2-0.5 L,,,Low,Low,Low,,Full Sun,10-22°C,30-50%,High,Keep dry during dormancy.
Acanthocereus,Winter,Tamil Nadu,Every 20-30 days,0.2-0.5 L,,,Low,Low,Low,,Full Sun,10-22°C,25-45%,High,Keep dry during dormancy.
Acanthocereus,Monsoon,Delhi,Every 15-20 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Calcium,Full Sun,25-35°C,50-70%,High,Avoid excess rainwater.
Acanthocereus,Monsoon,Maharashtra,Every 15-20 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Calcium,Full Sun,23-33°C,60-80%,High,Avoid excess rainwater.
Acanthocereus,Monsoon,Karnataka,Every 15-20 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Calcium,Full Sun,21-31°C,65-85%,High,Avoid excess rainwater.
Acanthocereus,Monsoon,West Bengal,Every 15-20 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Calcium,Full Sun,22-32°C,70-90%,High,Avoid excess rainwater.
Acanthocereus,Monsoon,Tamil Nadu,Every 15-20 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Calcium,Full Sun,22-32°C,65-85%,High,Avoid excess rainwater.
Acanthocereus,Autumn,Delhi,Every 15 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Magnesium,Full Sun,21-33°C,20-50%,High,Reduce watering gradually.
Acanthocereus,Autumn,Maharashtra,Every 15 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Magnesium,Full Sun,19-31°C,30-60%,High,Reduce watering gradually.
Acanthocereus,Autumn,Karnataka,Every 15 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Magnesium,Full Sun,17-29°C,35-65%,High,Reduce watering gradually.
Acanthocereus,Autumn,West Bengal,Every 15 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Magnesium,Full Sun,18-30°C,40-70%,High,Reduce watering gradually.
Acanthocereus,Autumn,Tamil Nadu,Every 15 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Magnesium,Full Sun,18-30°C,35-65%,High,Reduce watering gradually.
Acanthocereus,Windy,Delhi,Every 10-12 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Calcium,Full Sun,21-38°C,10-40%,High,Tolerates dry windy conditions.
Acanthocereus,Windy,Maharashtra,Every 10-12 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Calcium,Full Sun,19-36°C,20-50%,High,Tolerates dry windy conditions.
Acanthocereus,Windy,Karnataka,Every 10-12 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Calcium,Full Sun,17-34°C,25-55%,High,Tolerates dry windy conditions.
Acanthocereus,Windy,West Bengal,Every 10-12 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Calcium,Full Sun,18-35°C,30-60%,High,Tolerates dry windy conditions.
Acanthocereus,Windy,Tamil Nadu,Every 10-12 days,0.5 L,Cactus Fertilizer,5 g/month,Low,Low,Medium,Calcium,Full Sun,18-35°C,25-55%,High,Tolerates dry windy conditions.
Orange,Summer,Maharashtra,Every 3-4 days,10-15 L,Fruit Fertilizer,400 g/tree,Medium,High,High,Potassium; Zinc; Magnesium,Full Sun,26-39°C,40-70%,Medium,Water regularly during fruit development.
Orange,Summer,Madhya Pradesh,Every 3-4 days,10-15 L,Fruit Fertilizer,400 g/tree,Medium,High,High,Potassium; Zinc; Magnesium,Full Sun,27-40°C,35-65%,Medium,Water regularly during fruit development.
Orange,Summer,Punjab,Every 3-4 days,10-15 L,Fruit Fertilizer,400 g/tree,Medium,High,High,Potassium; Zinc; Magnesium,Full Sun,27-40°C,35-65%,Medium,Water regularly during fruit development.
Orange,Summer,Assam,Every 3-4 days,10-15 L,Fruit Fertilizer,400 g/tree,Medium,High,High,Potassium; Zinc; Magnesium,Full Sun,24-37°C,55-85%,Medium,Water regularly during fruit development.
Orange,Summer,Sikkim,Every 3-4 days,10-15 L,Fruit Fertilizer,400 g/tree,Medium,High,High,Potassium; Zinc; Magnesium,Full Sun,20-33°C,50-80%,Medium,Water regularly during fruit development.
Orange,Winter,Maharashtra,Every 10-15 days,5 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,13-26°C,40-60%,Medium,Reduce watering in winter.
Orange,Winter,Madhya Pradesh,Every 10-15 days,5 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,14-27°C,35-55%,Medium,Reduce watering in winter.
Orange,Winter,Punjab,Every 10-15 days,5 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,14-27°C,35-55%,Medium,Reduce watering in winter.
Orange,Winter,Assam,Every 10-15 days,5 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,11-24°C,55-75%,Medium,Reduce watering in winter.
Orange,Winter,Sikkim,Every 10-15 days,5 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,7-20°C,50-70%,Medium,Reduce watering in winter.
Orange,Monsoon,Maharashtra,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Iron; Zinc,Full Sun,23-35°C,70-90%,Medium,Prevent root waterlogging.
Orange,Monsoon,Madhya Pradesh,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Iron; Zinc,Full Sun,24-36°C,65-85%,Medium,Prevent root waterlogging.
Orange,Monsoon,Punjab,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Iron; Zinc,Full Sun,24-36°C,65-85%,Medium,Prevent root waterlogging.
Orange,Monsoon,Assam,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Iron; Zinc,Full Sun,21-33°C,85-100%,Medium,Prevent root waterlogging.
Orange,Monsoon,Sikkim,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Iron; Zinc,Full Sun,17-29°C,80-100%,Medium,Prevent root waterlogging.
Orange,Autumn,Maharashtra,Every 5-7 days,8 L,Fruit Fertilizer,300 g/tree,Medium,High,High,Boron; Potassium,Full Sun,21-33°C,50-70%,Medium,Prepare tree for flowering.
Orange,Autumn,Madhya Pradesh,Every 5-7 days,8 L,Fruit Fertilizer,300 g/tree,Medium,High,High,Boron; Potassium,Full Sun,22-34°C,45-65%,Medium,Prepare tree for flowering.
Orange,Autumn,Punjab,Every 5-7 days,8 L,Fruit Fertilizer,300 g/tree,Medium,High,High,Boron; Potassium,Full Sun,22-34°C,45-65%,Medium,Prepare tree for flowering.
Orange,Autumn,Assam,Every 5-7 days,8 L,Fruit Fertilizer,300 g/tree,Medium,High,High,Boron; Potassium,Full Sun,19-31°C,65-85%,Medium,Prepare tree for flowering.
Orange,Autumn,Sikkim,Every 5-7 days,8 L,Fruit Fertilizer,300 g/tree,Medium,High,High,Boron; Potassium,Full Sun,15-27°C,60-80%,Medium,Prepare tree for flowering.
Orange,Windy,Maharashtra,Every 5 days,10 L,Organic Compost,3 kg/tree,Medium,Medium,High,Calcium,Full Sun,21-36°C,40-60%,Medium,Protect young branches.
Orange,Windy,Madhya Pradesh,Every 5 days,10 L,Organic Compost,3 kg/tree,Medium,Medium,High,Calcium,Full Sun,22-37°C,35-55%,Medium,Protect young branches.
Orange,Windy,Punjab,Every 5 days,10 L,Organic Compost,3 kg/tree,Medium,Medium,High,Calcium,Full Sun,22-37°C,35-55%,Medium,Protect young branches.
Orange,Windy,Assam,Every 5 days,10 L,Organic Compost,3 kg/tree,Medium,Medium,High,Calcium,Full Sun,19-34°C,55-75%,Medium,Protect young branches.
Orange,Windy,Sikkim,Every 5 days,10 L,Organic Compost,3 kg/tree,Medium,Medium,High,Calcium,Full Sun,15-30°C,50-70%,Medium,Protect young branches.
Spring Onion Plant,Summer,Tamil Nadu,Daily,0.5-1 L,Organic Compost,500 g/m²,Medium,Medium,Medium,Iron; Calcium,Partial Sun,20-32°C,55-75%,Low,Keep soil moist for healthy leaves.
Spring Onion Plant,Summer,Karnataka,Daily,0.5-1 L,Organic Compost,500 g/m²,Medium,Medium,Medium,Iron; Calcium,Partial Sun,19-31°C,55-75%,Low,Keep soil moist for healthy leaves.
Spring Onion Plant,Summer,Maharashtra,Daily,0.5-1 L,Organic Compost,500 g/m²,Medium,Medium,Medium,Iron; Calcium,Partial Sun,21-33°C,50-70%,Low,Keep soil moist for healthy leaves.
Spring Onion Plant,Summer,Punjab,Daily,0.5-1 L,Organic Compost,500 g/m²,Medium,Medium,Medium,Iron; Calcium,Partial Sun,22-34°C,45-65%,Low,Keep soil moist for healthy leaves.
Spring Onion Plant,Summer,West Bengal,Daily,0.5-1 L,Organic Compost,500 g/m²,Medium,Medium,Medium,Iron; Calcium,Partial Sun,20-32°C,60-80%,Low,Keep soil moist for healthy leaves.
Spring Onion Plant,Winter,Tamil Nadu,Every 3-4 days,0.5 L,Vermicompost,300 g/m²,Low,Medium,Medium,Calcium; Magnesium,Partial Sun,10-22°C,45-65%,Low,Best season for leaf growth.
Spring Onion Plant,Winter,Karnataka,Every 3-4 days,0.5 L,Vermicompost,300 g/m²,Low,Medium,Medium,Calcium; Magnesium,Partial Sun,9-21°C,45-65%,Low,Best season for leaf growth.
Spring Onion Plant,Winter,Maharashtra,Every 3-4 days,0.5 L,Vermicompost,300 g/m²,Low,Medium,Medium,Calcium; Magnesium,Partial Sun,11-23°C,40-60%,Low,Best season for leaf growth.
Spring Onion Plant,Winter,Punjab,Every 3-4 days,0.5 L,Vermicompost,300 g/m²,Low,Medium,Medium,Calcium; Magnesium,Partial Sun,12-24°C,35-55%,Low,Best season for leaf growth.
Spring Onion Plant,Winter,West Bengal,Every 3-4 days,0.5 L,Vermicompost,300 g/m²,Low,Medium,Medium,Calcium; Magnesium,Partial Sun,10-22°C,50-70%,Low,Best season for leaf growth.
Spring Onion Plant,Monsoon,Tamil Nadu,Every 3-4 days,0.5-1 L,Organic Compost,300 g/m²,Medium,Medium,Medium,Zinc; Iron,Partial Sun,18-28°C,75-95%,Low,Ensure drainage to avoid bulb rot.
Spring Onion Plant,Monsoon,Karnataka,Every 3-4 days,0.5-1 L,Organic Compost,300 g/m²,Medium,Medium,Medium,Zinc; Iron,Partial Sun,17-27°C,75-95%,Low,Ensure drainage to avoid bulb rot.
Spring Onion Plant,Monsoon,Maharashtra,Every 3-4 days,0.5-1 L,Organic Compost,300 g/m²,Medium,Medium,Medium,Zinc; Iron,Partial Sun,19-29°C,70-90%,Low,Ensure drainage to avoid bulb rot.
Spring Onion Plant,Monsoon,Punjab,Every 3-4 days,0.5-1 L,Organic Compost,300 g/m²,Medium,Medium,Medium,Zinc; Iron,Partial Sun,20-30°C,65-85%,Low,Ensure drainage to avoid bulb rot.
