plant_name,disease_name,disease_type,symptoms,causes,prevention,treatment,affected_parts,severity
Lichi,Fruit Fly Infestation,Pest,Small puncture marks on ripening fruit; maggots tunnelling inside causing premature fruit drop and rot.,Fruit flies (Bactrocera spp.) laying eggs in maturing fruit.,"Use pheromone/methyl eugenol traps, bag fruit clusters, maintain orchard sanitation.",Apply approved insecticide bait spray; collect and destroy fallen infested fruit.,Fruit,Moderate to High
Lichi,Sooty Mould,Fungal (secondary),"Black sooty coating over leaves and stems, reducing photosynthesis and vigour.","Growth of sooty mould fungus on honeydew excreted by aphids, scale or mealybugs.",Control sap-sucking insect pests early; encourage natural predators like ladybirds.,Wash off with a mild soap-water spray; treat the underlying insect infestation with neem oil.,"Leaves, stems",Low to Moderate
Strawberry,Anthracnose,Fungal,"Dark, sunken lesions on leaves, twigs and fruit; fruit develops black rotten spots as it ripens.","Colletotrichum fungus thriving in warm, humid, wet weather; spread by rain splash.","Prune for good airflow, avoid overhead watering, remove fallen leaves and mummified fruit.",Spray copper-based fungicide at flowering and fruit set; remove and destroy infected plant parts.,"Leaves, twigs, fruit",Moderate to High
Strawberry,Powdery Mildew,Fungal,"White powdery coating on young leaves, shoots and flower panicles; distorted new growth.","Fungal spores favoured by warm days, cool nights and poor air circulation.","Prune to open up the canopy, avoid excess nitrogen fertilizer, space trees adequately.",Apply wettable sulfur or neem oil spray at first sign of infection; repeat every 7-10 days.,"Leaves, young shoots, flowers",Moderate
Strawberry,Root Rot,Fungal,Wilting and yellowing leaves despite moist soil; roots turn brown/black and mushy; stunted growth.,"Waterlogged, poorly drained soil favouring Phytophthora/Pythium fungi.","Plant in well-drained soil or raised beds; avoid overwatering, especially in monsoon.","Improve drainage, trim away rotten roots, apply a systemic fungicide drench.","Roots, root collar",High
Strawberry,Bacterial Canker / Leaf Spot,Bacterial,Water-soaked spots on leaves that turn brown with a yellow halo; raised corky lesions on fruit and twigs.,Xanthomonas bacteria spread by wind-driven rain and contaminated pruning tools.,"Use certified disease-free planting material, disinfect pruning tools, avoid overhead irrigation.",Spray copper-based bactericide; prune and destroy infected branches.,"Leaves, fruit, twigs",High
Strawberry,Fruit Fly Infestation,Pest,Small puncture marks on ripening fruit; maggots tunnelling inside causing premature fruit drop and rot.,Fruit flies (Bactrocera spp.) laying eggs in maturing fruit.,"Use pheromone/methyl eugenol traps, bag fruit clusters, maintain orchard sanitation.",Apply approved insecticide bait spray; collect and destroy fallen infested fruit.,Fruit,Moderate to High
Strawberry,Sooty Mould,Fungal (secondary),"Black sooty coating over leaves and stems, reducing photosynthesis and vigour.","Growth of sooty mould fungus on honeydew excreted by aphids, scale or mealybugs.",Control sap-sucking insect pests early; encourage natural predators like ladybirds.,Wash off with a mild soap-water spray; treat the underlying insect infestation with neem oil.,"Leaves, stems",Low to Moderate
Acanthocereus,Root Rot,Fungal,"Base or roots turn black, mushy and foul-smelling; plant becomes soft, discoloured and collapses.","Overwatering in poorly draining soil, allowing Phytophthora/Pythium fungi to thrive.",Use a fast-draining cactus/succulent mix; let soil dry out completely between waterings.,"Remove all rotten tissue with a sterile blade, let cuts callous, repot in fresh dry mix.","Roots, stem base",High
Acanthocereus,Fungal Stem/Body Rot,Fungal,"Dark, soft, sunken patches on the stem or body that spread and turn mushy.","High humidity, standing water on the plant body, or wounds allowing fungal entry.","Avoid wetting the plant body, ensure good ventilation, water at soil level only.","Cut away infected tissue back to healthy flesh, dust wound with sulfur powder or fungicide.","Stem, pads, body",High
Acanthocereus,Mealybug Infestation,Pest,"Small white cottony clusters in crevices, joints and around the base; sticky residue.","Mealybug colonies feeding on plant sap, often introduced via new plants.",Inspect and quarantine new plants before placing near others; check crevices regularly.,Dab insects with rubbing-alcohol-soaked cotton swab; follow up with neem oil spray.,"Stem joints, areoles, roots",Moderate
Acanthocereus,Scale Insects,Pest,Small brown or tan raised bumps on the surface; sticky honeydew and yellowing nearby tissue.,Scale insects attaching to the plant surface and feeding on sap.,"Inspect regularly, isolate new arrivals, avoid overcrowding plants.","Scrape off scales gently, wipe with alcohol, apply horticultural oil spray.","Stem, ribs, pads",Moderate
Acanthocereus,Sunscorch / Corking,Abiotic (environmental),"Brown, tan or corky patches on the sun-facing side of the plant.","Sudden exposure to intense direct sun without acclimatisation, or natural ageing (corking).","Acclimatise gradually to full sun, provide light afternoon shade in peak summer.",No cure for scorched tissue; relocate to filtered light and let new growth cover the area.,Outer skin/epidermis,Low to Moderate
Orange,Anthracnose,Fungal,"Dark, sunken lesions on leaves, twigs and fruit; fruit develops black rotten spots as it ripens.","Colletotrichum fungus thriving in warm, humid, wet weather; spread by rain splash.","Prune for good airflow, avoid overhead watering, remove fallen leaves and mummified fruit.",Spray copper-based fungicide at flowering and fruit set; remove and destroy infected plant parts.,"Leaves, twigs, fruit",Moderate to High
Orange,Powdery Mildew,Fungal,"White powdery coating on young leaves, shoots and flower panicles; distorted new growth.","Fungal spores favoured by warm days, cool nights and poor air circulation.","Prune to open up the canopy, avoid excess nitrogen fertilizer, space trees adequately.",Apply wettable sulfur or neem oil spray at first sign of infection; repeat every 7-10 days.,"Leaves, young shoots, flowers",Moderate
Orange,Root Rot,Fungal,Wilting and yellowing leaves despite moist soil; roots turn brown/black and mushy; stunted growth.,"Waterlogged, poorly drained soil favouring Phytophthora/Pythium fungi.","Plant in well-drained soil or raised beds; avoid overwatering, especially in monsoon.","Improve drainage, trim away rotten roots, apply a systemic fungicide drench.","Roots, root collar",High
Orange,Bacterial Canker / Leaf Spot,Bacterial,Water-soaked spots on leaves that turn brown with a yellow halo; raised corky lesions on fruit and twigs.,Xanthomonas bacteria spread by wind-driven rain and contaminated pruning tools.,"Use certified disease-free planting material, disinfect pruning tools, avoid overhead irrigation.",Spray copper-based bactericide; prune and destroy infected branches.,"Leaves, fruit, twigs",High
Orange,Fruit Fly Infestation,Pest,Small puncture marks on ripening fruit; maggots tunnelling inside causing premature fruit drop and rot.,Fruit flies (Bactrocera spp.) laying eggs in maturing fruit.,"Use pheromone/methyl eugenol traps, bag fruit clusters, maintain orchard sanitation.",Apply approved insecticide bait spray; collect and destroy fallen infested fruit.,Fruit,Moderate to High
Orange,Sooty Mould,Fungal (secondary),"Black sooty coating over leaves and stems, reducing photosynthesis and vigour.","Growth of sooty mould fungus on honeydew excreted by aphids, scale or mealybugs.",Control sap-sucking insect pests early; encourage natural predators like ladybirds.,Wash off with a mild soap-water spray; treat the underlying insect infestation with neem oil.,"Leaves, stems",Low to Moderate
Spring Onion Plant,Powdery Mildew,Fungal,White powdery patches on leaves and stems that spread and cause leaves to yellow and curl.,Fungal spores favoured by high humidity combined with poor air circulation.,"Space plants for airflow, avoid overhead watering, remove infected debris promptly.",Spray neem oil or a potassium bicarbonate/sulfur solution every 7-10 days.,"Leaves, stems",Moderate
Spring Onion Plant,Damping Off,Fungal,Seedlings collapse and rot at the soil line soon after germination; poor emergence.,"Soil-borne fungi such as Pythium and Rhizoctonia thriving in cold, waterlogged soil.","Use sterile, well-draining potting mix; avoid overwatering seedlings; ensure good ventilation.","Remove affected seedlings immediately, improve drainage, apply a fungicidal drench to remaining trays.","Stem base, roots (seedling stage)",High
Spring Onion Plant,Leaf Spot,Fungal/Bacterial,Brown to black spots with yellow halos scattered across leaves; spots may merge and cause leaf drop.,Fungal or bacterial pathogens spread by water splash and wet foliage.,"Water at the soil level, avoid working with wet plants, rotate crops each season.",Remove and destroy affected leaves; apply a copper-based fungicide/bactericide.,Leaves,Moderate
Spring Onion Plant,Aphid Infestation,Pest,"Curled, distorted new leaves and shoots; sticky honeydew and clusters of small green/black insects.","Aphid colonies feeding on tender growth, especially in warm weather.","Encourage natural predators (ladybirds, lacewings), inspect new growth regularly.","Spray with neem oil or insecticidal soap, focusing on the undersides of leaves.","New shoots, leaves",Low to Moderate
Spring Onion Plant,Downy Mildew,Fungal,Yellow patches on the upper leaf surface with greyish-purple fuzzy growth underneath.,"Cool, moist conditions with prolonged leaf wetness.","Improve airflow around plants, avoid wetting foliage, remove volunteer plants and debris.",Remove infected leaves promptly; apply a suitable fungicide at first sign of infection.,Leaves,Moderate to High
Radish Plant,Powdery Mildew,Fungal,White powdery patches on leaves and stems that spread and cause leaves to yellow and curl.,Fungal spores favoured by high humidity combined with poor air circulation.,"Space plants for airflow, avoid overhead watering, remove infected debris promptly.",Spray neem oil or a potassium bicarbonate/sulfur solution every 7-10 days.,"Leaves, stems",Moderate
Radish Plant,Damping Off,Fungal,Seedlings collapse and rot at the soil line soon after germination; poor emergence.,"Soil-borne fungi such as Pythium and Rhizoctonia thriving in cold, waterlogged soil.","Use sterile, well-draining potting mix; avoid overwatering seedlings; ensure good ventilation.","Remove affected seedlings immediately, improve drainage, apply a fungicidal drench to remaining trays.","Stem base, roots (seedling stage)",High
Radish Plant,Leaf Spot,Fungal/Bacterial,Brown to black spots with yellow halos scattered across leaves; spots may merge and cause leaf drop.,Fungal or bacterial pathogens spread by water splash and wet foliage.,"Water at the soil level, avoid working with wet plants, rotate crops each season.",Remove and destroy affected leaves; apply a copper-based fungicide/bactericide.,Leaves,Moderate
Radish Plant,Aphid Infestation,Pest,"Curled, distorted new leaves and shoots; sticky honeydew and clusters of small green/black insects.","Aphid colonies feeding on tender growth, especially in warm weather.","Encourage natural predators (ladybirds, lacewings), inspect new growth regularly.","Spray with neem oil or insecticidal soap, focusing on the undersides of leaves.","New shoots, leaves",Low to Moderate
Radish Plant,Downy Mildew,Fungal,Yellow patches on the upper leaf surface with greyish-purple fuzzy growth underneath.,"Cool, moist conditions with prolonged leaf wetness.","Improve airflow around plants, avoid wetting foliage, remove volunteer plants and debris.",Remove infected leaves promptly; apply a suitable fungicide at first sign of infection.,Leaves,Moderate to High
Lemon,Anthracnose,Fungal,"Dark, sunken lesions on leaves, twigs and fruit; fruit develops black rotten spots as it ripens.","Colletotrichum fungus thriving in warm, humid, wet weather; spread by rain splash.","Prune for good airflow, avoid overhead watering, remove fallen leaves and mummified fruit.",Spray copper-based fungicide at flowering and fruit set; remove and destroy infected plant parts.,"Leaves, twigs, fruit",Moderate to High
Lemon,Powdery Mildew,Fungal,"White powdery coating on young leaves, shoots and flower panicles; distorted new growth.","Fungal spores favoured by warm days, cool nights and poor air circulation.","Prune to open up the canopy, avoid excess nitrogen fertilizer, space trees adequately.",Apply wettable sulfur or neem oil spray at first sign of infection; repeat every 7-10 days.,"Leaves, young shoots, flowers",Moderate
Lemon,Root Rot,Fungal,Wilting and yellowing leaves despite moist soil; roots turn brown/black and mushy; stunted growth.,"Waterlogged, poorly drained soil favouring Phytophthora/Pythium fungi.","Plant in well-drained soil or raised beds; avoid overwatering, especially in monsoon.","Improve drainage, trim away rotten roots, apply a systemic fungicide drench.","Roots, root collar",High
Lemon,Bacterial Canker / Leaf Spot,Bacterial,Water-soaked spots on leaves that turn brown with a yellow halo; raised corky lesions on fruit and twigs.,Xanthomonas bacteria spread by wind-driven rain and contaminated pruning tools.,"Use certified disease-free planting material, disinfect pruning tools, avoid overhead irrigation.",Spray copper-based bactericide; prune and destroy infected branches.,"Leaves, fruit, twigs",High
Lemon,Fruit Fly Infestation,Pest,Small puncture marks on ripening fruit; maggots tunnelling inside causing premature fruit drop and rot.,Fruit flies (Bactrocera spp.) laying eggs in maturing fruit.,"Use pheromone/methyl eugenol traps, bag fruit clusters, maintain orchard sanitation.",Apply approved insecticide bait spray; collect and destroy fallen infested fruit.,Fruit,Moderate to High
Lemon,Sooty Mould,Fungal (secondary),"Black sooty coating over leaves and stems, reducing photosynthesis and vigour.","Growth of sooty mould fungus on honeydew excreted by aphids, scale or mealybugs.",Control sap-sucking insect pests early; encourage natural predators like ladybirds.,Wash off with a mild soap-water spray; treat the underlying insect infestation with neem oil.,"Leaves, stems",Low to Moderate
Dahlia,Powdery Mildew,Fungal,"White powdery coating over leaves, buds and stems; distorted or stunted new growth.","Warm humid days followed by cool nights, combined with poor air circulation.","Space plants well, water at the base, avoid overhead irrigation in the evening.","Spray with sulfur, potassium bicarbonate, or neem oil at first sign of infection.","Leaves, buds, stems",Moderate
Dahlia,Botrytis Blight (Gray Mould),Fungal,Grayish-brown fuzzy mould on flowers and buds; affected blooms turn mushy and collapse.,"Cool, damp conditions with poor air circulation and overcrowded planting.","Deadhead spent blooms promptly, improve airflow, avoid overhead watering.",Remove and destroy infected flowers/buds; apply a fungicide labelled for Botrytis.,"Flowers, buds, stems",Moderate to High
Dahlia,Aphid Infestation,Pest,"Distorted, curled new growth and buds; sticky honeydew attracting ants and sooty mould.",Aphid colonies clustering on tender shoots and flower buds.,"Encourage beneficial insects, inspect new growth regularly, avoid excess nitrogen feeding.","Spray with neem oil or insecticidal soap, targeting bud clusters and shoot tips.","Buds, new shoots",Low to Moderate
Dahlia,Black Spot / Leaf Spot,Fungal,Black or brown circular spots on leaves surrounded by a yellow halo; leads to yellowing and leaf drop.,"Fungal spores spread by water splash, favoured by warm, humid weather.","Avoid wetting foliage when watering, prune for airflow, clear fallen infected leaves.",Remove and destroy infected leaves; apply a fungicide on a regular preventive schedule.,Leaves,Moderate
Dahlia,Root Rot,Fungal,Wilting and yellowing despite adequate moisture; roots turn brown/black and mushy.,"Waterlogged, poorly draining soil favouring fungal root pathogens.","Plant in well-drained soil, avoid overwatering, raise beds in heavy clay soils.","Improve drainage, trim rotten roots, apply a fungicide drench to remaining healthy roots.",Roots,High
Tuberose,Powdery Mildew,Fungal,"White powdery coating over leaves, buds and stems; distorted or stunted new growth.","Warm humid days followed by cool nights, combined with poor air circulation.","Space plants well, water at the base, avoid overhead irrigation in the evening.","Spray with sulfur, potassium bicarbonate, or neem oil at first sign of infection.","Leaves, buds, stems",Moderate
Tuberose,Botrytis Blight (Gray Mould),Fungal,Grayish-brown fuzzy mould on flowers and buds; affected blooms turn mushy and collapse.,"Cool, damp conditions with poor air circulation and overcrowded planting.","Deadhead spent blooms promptly, improve airflow, avoid overhead watering.",Remove and destroy infected flowers/buds; apply a fungicide labelled for Botrytis.,"Flowers, buds, stems",Moderate to High
Tuberose,Aphid Infestation,Pest,"Distorted, curled new growth and buds; sticky honeydew attracting ants and sooty mould.",Aphid colonies clustering on tender shoots and flower buds.,"Encourage beneficial insects, inspect new growth regularly, avoid excess nitrogen feeding.","Spray with neem oil or insecticidal soap, targeting bud clusters and shoot tips.","Buds, new shoots",Low to Moderate
Tuberose,Black Spot / Leaf Spot,Fungal,Black or brown circular spots on leaves surrounded by a yellow halo; leads to yellowing and leaf drop.,"Fungal spores spread by water splash, favoured by warm, humid weather.","Avoid wetting foliage when watering, prune for airflow, clear fallen infected leaves.",Remove and destroy infected leaves; apply a fungicide on a regular preventive schedule.,Leaves,Moderate
Tuberose,Root Rot,Fungal,Wilting and yellowing despite adequate moisture; roots turn brown/black and mushy.,"Waterlogged, poorly draining soil favouring fungal root pathogens.","Plant in well-drained soil, avoid overwatering, raise beds in heavy clay soils.","Improve drainage, trim rotten roots, apply a fungicide drench to remaining healthy roots.",Roots,High
Bougainvillea,Powdery Mildew,Fungal,"White powdery coating over leaves, buds and stems; distorted or stunted new growth.","Warm humid days followed by cool nights, combined with poor air circulation.","Space plants well, water at the base, avoid overhead irrigation in the evening.","Spray with sulfur, potassium bicarbonate, or neem oil at first sign of infection.","Leaves, buds, stems",Moderate
Bougainvillea,Botrytis Blight (Gray Mould),Fungal,Grayish-brown fuzzy mould on flowers and buds; affected blooms turn mushy and collapse.,"Cool, damp conditions with poor air circulation and overcrowded planting.","Deadhead spent blooms promptly, improve airflow, avoid overhead watering.",Remove and destroy infected flowers/buds; apply a fungicide labelled for Botrytis.,"Flowers, buds, stems",Moderate to High
Bougainvillea,Aphid Infestation,Pest,"Distorted, curled new growth and buds; sticky honeydew attracting ants and sooty mould.",Aphid colonies clustering on tender shoots and flower buds.,"Encourage beneficial insects, inspect new growth regularly, avoid excess nitrogen feeding.","Spray with neem oil or insecticidal soap, targeting bud clusters and shoot tips.","Buds, new shoots",Low to Moderate
Bougainvillea,Black Spot / Leaf Spot,Fungal,Black or brown circular spots on leaves surrounded by a yellow halo; leads to yellowing and leaf drop.,"Fungal spores spread by water splash, favoured by warm, humid weather.","Avoid wetting foliage when watering, prune for airflow, clear fallen infected leaves.",Remove and destroy infected leaves; apply a fungicide on a regular preventive schedule.,Leaves,Moderate
Bougainvillea,Root Rot,Fungal,Wilting and yellowing despite adequate moisture; roots turn brown/black and mushy.,"Waterlogged, poorly draining soil favouring fungal root pathogens.","Plant in well-drained soil, avoid overwatering, raise beds in heavy clay soils.","Improve drainage, trim rotten roots, apply a fungicide drench to remaining healthy roots.",Roots,High
Oleander,Powdery Mildew,Fungal,"White powdery coating over leaves, buds and stems; distorted or stunted new growth.","Warm humid days followed by cool nights, combined with poor air circulation.","Space plants well, water at the base, avoid overhead irrigation in the evening.","Spray with sulfur, potassium bicarbonate, or neem oil at first sign of infection.","Leaves, buds, stems",Moderate
Oleander,Botrytis Blight (Gray Mould),Fungal,Grayish-brown fuzzy mould on flowers and buds; affected blooms turn mushy and collapse.,"Cool, damp conditions with poor air circulation and overcrowded planting.","Deadhead spent blooms promptly, improve airflow, avoid overhead watering.",Remove and destroy infected flowers/buds; apply a fungicide labelled for Botrytis.,"Flowers, buds, stems",Moderate to High
Oleander,Aphid Infestation,Pest,"Distorted, curled new growth and buds; sticky honeydew attracting ants and sooty mould.",Aphid colonies clustering on tender shoots and flower buds.,"Encourage beneficial insects, inspect new growth regularly, avoid excess nitrogen feeding.","Spray with neem oil or insecticidal soap, targeting bud clusters and shoot tips.","Buds, new shoots",Low to Moderate
Oleander,Black Spot / Leaf Spot,Fungal,Black or brown circular spots on leaves surrounded by a yellow halo; leads to yellowing and leaf drop.,"Fungal spores spread by water splash, favoured by warm, humid weather.","Avoid wetting foliage when watering, prune for airflow, clear fallen infected leaves.",Remove and destroy infected leaves; apply a fungicide on a regular preventive schedule.,Leaves,Moderate
Oleander,Root Rot,Fungal,Wilting and yellowing despite adequate moisture; roots turn brown/black and mushy.,"Waterlogged, poorly draining soil favouring fungal root pathogens.","Plant in well-drained soil, avoid overwatering, raise beds in heavy clay soils.","Improve drainage, trim rotten roots, apply a fungicide drench to remaining healthy roots.",Roots,High
Ashoka Tree,Leaf Spot Disease,Fungal,"Brown to black spots scattered across leaves, sometimes merging and causing early leaf drop.",Fungal pathogens spread by rain splash during humid weather.,"Prune for good airflow, avoid overhead watering, clear fallen infected leaves.",Apply a copper-based fungicide; remove and destroy heavily infected leaves.,Leaves,Moderate
Ashoka Tree,Powdery Mildew,Fungal,"White powdery coating on leaves and young shoots, causing distorted growth.",Humid conditions with poor air circulation around the canopy.,"Space plants adequately, avoid excess nitrogen fertilizer, prune to open the canopy.",Spray sulfur-based fungicide or neem oil at first sign of infection.,"Leaves, young shoots",Low to Moderate
Ashoka Tree,Root/Collar Rot,Fungal,"Wilting, yellowing foliage and decayed, discoloured bark at the base of the trunk.",Waterlogging around the root collar allowing Phytophthora fungus to establish.,"Ensure well-drained planting site, avoid piling mulch/soil against the trunk, avoid overwatering.","Improve site drainage, expose and dry out the collar, apply a systemic fungicide drench.","Roots, root collar/base",High
Ashoka Tree,Termite / Borer Infestation,Pest,Small holes in the trunk or branches with sawdust-like frass; branch dieback.,Wood-boring insects or termites attacking stressed or wounded wood.,"Keep trees healthy and well-watered, remove dead wood promptly, avoid trunk injuries.",Apply an appropriate insecticide to affected areas; prune and destroy severely infested branches.,"Trunk, branches",Moderate to High
Ashoka Tree,Sooty Mould,Fungal (secondary),"Black sooty coating over leaves and twigs, reducing photosynthesis.",Growth on honeydew secreted by sap-sucking pests such as aphids or scale insects.,Control the underlying insect pest population early with regular inspection.,Wash affected foliage with a mild soap spray; treat the insect infestation with neem oil.,"Leaves, twigs",Low
Bottle Palm,Leaf Spot Disease,Fungal,"Brown to black spots scattered across leaves, sometimes merging and causing early leaf drop.",Fungal pathogens spread by rain splash during humid weather.,"Prune for good airflow, avoid overhead watering, clear fallen infected leaves.",Apply a copper-based fungicide; remove and destroy heavily infected leaves.,Leaves,Moderate
Bottle Palm,Powdery Mildew,Fungal,"White powdery coating on leaves and young shoots, causing distorted growth.",Humid conditions with poor air circulation around the canopy.,"Space plants adequately, avoid excess nitrogen fertilizer, prune to open the canopy.",Spray sulfur-based fungicide or neem oil at first sign of infection.,"Leaves, young shoots",Low to Moderate
Bottle Palm,Root/Collar Rot,Fungal,"Wilting, yellowing foliage and decayed, discoloured bark at the base of the trunk.",Waterlogging around the root collar allowing Phytophthora fungus to establish.,"Ensure well-drained planting site, avoid piling mulch/soil against the trunk, avoid overwatering.","Improve site drainage, expose and dry out the collar, apply a systemic fungicide drench.","Roots, root collar/base",High
Bottle Palm,Termite / Borer Infestation,Pest,Small holes in the trunk or branches with sawdust-like frass; branch dieback.,Wood-boring insects or termites attacking stressed or wounded wood.,"Keep trees healthy and well-watered, remove dead wood promptly, avoid trunk injuries.",Apply an appropriate insecticide to affected areas; prune and destroy severely infested branches.,"Trunk, branches",Moderate to High
Bottle Palm,Sooty Mould,Fungal (secondary),"Black sooty coating over leaves and twigs, reducing photosynthesis.",Growth on honeydew secreted by sap-sucking pests such as aphids or scale insects.,Control the underlying insect pest population early with regular inspection.,Wash affected foliage with a mild soap spray; treat the insect infestation with neem oil.,"Leaves, twigs",Low
Gulmohar,Leaf Spot Disease,Fungal,"Brown to black spots scattered across leaves, sometimes merging and causing early leaf drop.",Fungal pathogens spread by rain splash during humid weather.,"Prune for good airflow, avoid overhead watering, clear fallen infected leaves.",Apply a copper-based fungicide; remove and destroy heavily infected leaves.,Leaves,Moderate
Gulmohar,Powdery Mildew,Fungal,"White powdery coating on leaves and young shoots, causing distorted growth.",Humid conditions with poor air circulation around the canopy.,"Space plants adequately, avoid excess nitrogen fertilizer, prune to open the canopy.",Spray sulfur-based fungicide or neem oil at first sign of infection.,"Leaves, young shoots",Low to Moderate
Gulmohar,Root/Collar Rot,Fungal,"Wilting, yellowing foliage and decayed, discoloured bark at the base of the trunk.",Waterlogging around the root collar allowing Phytophthora fungus to establish.,"Ensure well-drained planting site, avoid piling mulch/soil against the trunk, avoid overwatering.","Improve site drainage, expose and dry out the collar, apply a systemic fungicide drench.","Roots, root collar/base",High
Gulmohar,Termite / Borer Infestation,Pest,Small holes in the trunk or branches with sawdust-like frass; branch dieback.,Wood-boring insects or termites attacking stressed or wounded wood.,"Keep trees healthy and well-watered, remove dead wood promptly, avoid trunk injuries.",Apply an appropriate insecticide to affected areas; prune and destroy severely infested branches.,"Trunk, branches",Moderate to High
Gulmohar,Sooty Mould,Fungal (secondary),"Black sooty coating over leaves and twigs, reducing photosynthesis.",Growth on honeydew secreted by sap-sucking pests such as aphids or scale insects.,Control the underlying insect pest population early with regular inspection.,Wash affected foliage with a mild soap spray; treat the insect infestation with neem oil.,"Leaves, twigs",Low
Mexican Sunflower,Powdery Mildew,Fungal,"White powdery coating over leaves, buds and stems; distorted or stunted new growth.","Warm humid days followed by cool nights, combined with poor air circulation.","Space plants well, water at the base, avoid overhead irrigation in the evening.","Spray with sulfur, potassium bicarbonate, or neem oil at first sign of infection.","Leaves, buds, stems",Moderate
Mexican Sunflower,Botrytis Blight (Gray Mould),Fungal,Grayish-brown fuzzy mould on flowers and buds; affected blooms turn mushy and collapse.,"Cool, damp conditions with poor air circulation and overcrowded planting.","Deadhead spent blooms promptly, improve airflow, avoid overhead watering.",Remove and destroy infected flowers/buds; apply a fungicide labelled for Botrytis.,"Flowers, buds, stems",Moderate to High
Mexican Sunflower,Aphid Infestation,Pest,"Distorted, curled new growth and buds; sticky honeydew attracting ants and sooty mould.",Aphid colonies clustering on tender shoots and flower buds.,"Encourage beneficial insects, inspect new growth regularly, avoid excess nitrogen feeding.","Spray with neem oil or insecticidal soap, targeting bud clusters and shoot tips.","Buds, new shoots",Low to Moderate
Mexican Sunflower,Black Spot / Leaf Spot,Fungal,Black or brown circular spots on leaves surrounded by a yellow halo; leads to yellowing and leaf drop.,"Fungal spores spread by water splash, favoured by warm, humid weather.","Avoid wetting foliage when watering, prune for airflow, clear fallen infected leaves.",Remove and destroy infected leaves; apply a fungicide on a regular preventive schedule.,Leaves,Moderate
