plant_name,country,state_or_region,continent,native_status,cultivation_status,climate_zone,best_growing_season,best_growing_months,temperature_min,temperature_max,annual_rainfall_min,annual_rainfall_max,humidity_min,humidity_max,altitude_min,altitude_max,soil_suitability,water_availability,sunlight_condition,frost_tolerance,heat_tolerance,drought_tolerance,salinity_tolerance,wind_tolerance,common_growing_method,commercial_production,remarks,,
Lichi,Vietnam,Bac Giang,Asia,No,Commercial,Tropical,Summer,May-June,22,34,1200,1800,65,85,0,500,Loamy,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Orchard,Yes,Known for high-quality litchi exports.,,
Lichi,Australia,Queensland,Australia,No,Commercial,Tropical,Summer,November-January,20,33,800,1500,55,75,0,400,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Orchard,Yes,Grown in northern tropical regions.,,
Strawberry,India,Mahabaleshwar (Maharashtra),Asia,No,Commercial,Temperate,Winter,November-March,10,26,600,1500,60,80,1000,1500,Well-drained Sandy Loam,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Field,Yes,Mahabaleshwar is India's famous strawberry-growing region.,,
Strawberry,India,Himachal Pradesh,Asia,No,Commercial,Temperate,Spring,March-June,5,22,800,1800,60,80,1000,2500,Loamy,Moderate,Full Sun,High,Low,Low,Low,Medium,Field,Yes,Grown in cool hill regions.,,
Strawberry,USA,California,North America,No,Commercial,Mediterranean,Spring,February-June,8,25,300,700,60,75,0,500,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,California is the largest strawberry producer in the USA.,,
Strawberry,Mexico,Baja California,North America,No,Commercial,Mediterranean,Winter,December-April,10,24,200,600,55,75,0,600,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,Major exporter to North America.,,
Strawberry,Spain,Huelva,Europe,No,Commercial,Mediterranean,Winter,January-May,8,24,400,700,60,75,0,300,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,Huelva is Europe's leading strawberry-growing area.,,
Strawberry,Poland,Masovian,Europe,No,Commercial,Temperate,Summer,May-July,5,22,500,800,60,80,0,300,Loamy,Moderate,Full Sun,High,Low,Low,Low,Medium,Field,Yes,Poland is a major European producer.,,
Strawberry,Japan,Tochigi,Asia,No,Commercial,Temperate,Winter,December-April,8,22,900,1500,65,80,0,500,Loamy,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Greenhouse,Yes,Famous for premium strawberries.,,
Strawberry,South Korea,Nonsan,Asia,No,Commercial,Temperate,Winter,December-April,5,22,900,1500,60,80,0,300,Loamy,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Greenhouse,Yes,Large-scale greenhouse cultivation.,,
Strawberry,Australia,Victoria,Australia,No,Commercial,Temperate,Spring,September-December,8,25,500,900,55,75,0,600,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,Commercial production for fresh markets.,,
Strawberry,Egypt,Beheira,Africa,No,Commercial,Mediterranean,Winter,November-March,10,24,50,200,50,70,0,200,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Field,Yes,One of the world's leading frozen strawberry exporters.,,
Acanthocereus,Mexico,Yucatán,North America,Yes,Wild,Tropical Dry,Summer,May-August,22,38,400,1200,40,70,0,800,Sandy Well-drained,Low,Full Sun,Low,High,High,Medium,High,Natural Habitat,No,Native cactus species widely found in Mexico.,,
Acanthocereus,Mexico,Quintana Roo,North America,Yes,Wild,Tropical,Summer,May-September,23,37,800,1500,50,80,0,500,Sandy Loam,Low,Full Sun,Low,High,High,Medium,High,Natural Habitat,No,Grows naturally in coastal forests.,,
Acanthocereus,Belize,Belize District,North America,Yes,Wild,Tropical,Wet,June-October,24,35,1200,2000,60,85,0,300,Sandy,Low,Full Sun,Low,High,High,Medium,Medium,Natural Habitat,No,Common in dry tropical regions.,,
Acanthocereus,Guatemala,Petén,North America,Yes,Wild,Tropical,Summer,May-September,22,35,1000,1800,55,80,100,500,Rocky Sandy Soil,Low,Full Sun,Low,High,High,Low,Medium,Natural Habitat,No,Found in dry forests.,,
Acanthocereus,Honduras,Francisco Morazán,North America,Yes,Wild,Tropical,Summer,May-October,22,34,900,1700,55,80,200,700,Well-drained Sandy Soil,Low,Full Sun,Low,High,High,Low,Medium,Natural Habitat,No,Thrives in warm climates.,,
Acanthocereus,El Salvador,La Libertad,North America,Yes,Wild,Tropical,Summer,May-October,23,35,1200,1800,60,80,0,500,Sandy Loam,Low,Full Sun,Low,High,High,Low,Medium,Natural Habitat,No,Common in coastal dry regions.,,
Acanthocereus,Nicaragua,León,North America,Yes,Wild,Tropical,Summer,May-October,24,36,900,1600,55,80,0,400,Sandy,Low,Full Sun,Low,High,High,Low,Medium,Natural Habitat,No,Adapted to drought conditions.,,
Acanthocereus,Costa Rica,Guanacaste,North America,Yes,Wild,Tropical Dry,Dry,December-April,24,34,1000,1800,50,75,0,500,Rocky Sandy Soil,Low,Full Sun,Low,High,High,Medium,Medium,Natural Habitat,No,Common in tropical dry forests.,,
Acanthocereus,USA,Florida,North America,No,Cultivated,Tropical,Spring,March-June,20,34,1000,1600,60,80,0,100,Sandy Soil,Low,Full Sun,Low,High,Medium,Medium,Medium,Botanical Garden,Limited,Cultivated mainly in botanical collections.,,
Acanthocereus,India,Tamil Nadu,Asia,No,Ornamental,Tropical,Year-round,January-December,22,38,600,1200,50,75,0,300,Well-drained Sandy Soil,Low,Full Sun,Low,High,High,Low,Medium,Garden,Limited,Grown as an ornamental cactus.,,
Orange,India,Maharashtra,Asia,No,Commercial,Tropical,Winter,November-February,15,35,700,1500,50,80,0,1000,Well-drained Loamy,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Maharashtra is a major orange-producing state.,,
Orange,India,Nagpur (Maharashtra),Asia,No,Commercial,Tropical,Winter,November-January,16,34,800,1200,50,75,0,800,Deep Loamy,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Nagpur oranges are GI-tagged.,,
Orange,India,Madhya Pradesh,Asia,No,Commercial,Subtropical,Winter,December-February,14,33,700,1200,50,75,0,700,Loamy,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Commercial citrus cultivation is common.,,
Orange,Brazil,São Paulo,South America,No,Commercial,Tropical,Winter,June-September,18,32,1000,1600,60,80,0,800,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Brazil is the world's largest orange producer.,,
Orange,USA,Florida,North America,No,Commercial,Subtropical,Winter,December-April,15,32,1000,1500,60,80,0,100,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Florida is famous for orange juice production.,,
Orange,USA,California,North America,No,Commercial,Mediterranean,Winter,November-March,12,30,300,700,50,70,0,600,Well-drained Loam,Moderate,Full Sun,Low,Medium,Medium,Low,Medium,Orchard,Yes,Produces premium fresh oranges.,,
Orange,Spain,Valencia,Europe,No,Commercial,Mediterranean,Winter,November-April,10,28,400,700,55,75,0,500,Loamy,Moderate,Full Sun,Low,Medium,Medium,Low,Medium,Orchard,Yes,Valencia oranges are exported worldwide.,,
Orange,China,Jiangxi,Asia,No,Commercial,Subtropical,Winter,November-February,12,30,1200,1800,60,80,0,600,Loamy,Moderate,Full Sun,Low,Medium,Medium,Low,Medium,Orchard,Yes,China is one of the top citrus producers.,,
Orange,Mexico,Veracruz,North America,No,Commercial,Tropical,Winter,December-March,18,33,1000,1800,60,80,0,500,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Major citrus-growing region.,,
Orange,Egypt,Beheira,Africa,No,Commercial,Mediterranean,Winter,December-March,12,28,50,200,50,70,0,200,Sandy Loam,Moderate,Full Sun,Low,High,High,Medium,Medium,Orchard,Yes,Egypt is a leading orange exporter.,,
Spring Onion Plant,India,Tamil Nadu,Asia,No,Commercial,Tropical,Winter,October-February,15,30,600,1200,50,75,0,600,Well-drained Loamy,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,Widely cultivated for local markets.,,
Spring Onion Plant,India,Karnataka,Asia,No,Commercial,Tropical,Winter,October-February,14,28,700,1200,50,75,500,900,Loamy,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,Popular vegetable crop in irrigated farms.,,
Spring Onion Plant,India,Maharashtra,Asia,No,Commercial,Tropical,Winter,November-March,16,30,600,1000,50,70,0,700,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,Grown throughout the winter season.,,
Spring Onion Plant,China,Shandong,Asia,No,Commercial,Temperate,Spring,March-June,10,25,500,900,55,75,0,500,Fertile Loam,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Field,Yes,China is the world's largest producer of spring onions.,,
Spring Onion Plant,Japan,Hokkaido,Asia,No,Commercial,Temperate,Spring,April-July,8,22,700,1200,60,80,0,500,Loamy,Moderate,Full Sun,High,Low,Low,Low,Medium,Field,Yes,High-quality spring onions are produced here.,,
Spring Onion Plant,South Korea,Gyeonggi,Asia,No,Commercial,Temperate,Spring,March-June,8,24,800,1400,60,80,0,400,Loamy,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Field,Yes,Commercial cultivation is widespread.,,
Spring Onion Plant,USA,California,North America,No,Commercial,Mediterranean,Spring,February-May,10,24,300,700,50,70,0,600,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,Major producer for fresh markets.,,
Spring Onion Plant,Mexico,Baja California,North America,No,Commercial,Mediterranean,Winter,November-March,12,26,200,600,50,70,0,500,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,Large-scale export cultivation.,,
Spring Onion Plant,Egypt,Beheira,Africa,No,Commercial,Mediterranean,Winter,November-March,12,26,50,200,50,70,0,200,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Field,Yes,Produced for domestic use and export.,,
Spring Onion Plant,Australia,Victoria,Australia,No,Commercial,Temperate,Spring,September-December,10,24,500,900,55,75,0,600,Loamy,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Field,Yes,Commercial production for supermarkets.,,
Radish Plant,India,Tamil Nadu,Asia,No,Commercial,Tropical,Winter,October-February,12,30,600,1200,50,75,0,600,Well-drained Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,Widely cultivated as a root vegetable.,,
Radish Plant,India,Punjab,Asia,No,Commercial,Subtropical,Winter,October-February,10,28,400,800,50,70,200,500,Fertile Loamy,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Field,Yes,Large-scale commercial cultivation.,,
Radish Plant,India,Uttar Pradesh,Asia,No,Commercial,Subtropical,Winter,November-March,10,26,600,1000,55,75,0,400,Loamy,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Field,Yes,One of the leading radish-producing states.,,
Radish Plant,China,Shandong,Asia,No,Commercial,Temperate,Autumn,September-December,8,24,500,900,55,75,0,500,Loamy,Moderate,Full Sun,High,Low,Low,Low,Medium,Field,Yes,China is the world's largest producer of radish.,,
Radish Plant,Japan,Hokkaido,Asia,No,Commercial,Temperate,Spring,April-June,5,22,700,1200,60,80,0,500,Well-drained Loamy,Moderate,Full Sun,High,Low,Low,Low,Medium,Field,Yes,Famous for high-quality daikon radish.,,
Radish Plant,South Korea,Gangwon,Asia,No,Commercial,Temperate,Autumn,September-November,8,22,700,1300,60,80,100,700,Loamy,Moderate,Full Sun,High,Low,Low,Low,Medium,Field,Yes,Daikon radish is widely cultivated.,,
Radish Plant,USA,California,North America,No,Commercial,Mediterranean,Winter,November-March,10,24,300,700,50,70,0,600,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,Major producer for fresh vegetable markets.,,
Radish Plant,Mexico,Guanajuato,North America,No,Commercial,Subtropical,Winter,November-February,12,26,400,800,50,70,1500,2200,Loamy,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Field,Yes,Commercial production for export.,,
Radish Plant,Germany,Bavaria,Europe,No,Commercial,Temperate,Spring,April-July,6,22,600,1000,60,80,300,800,Fertile Loamy,Moderate,Full Sun,High,Low,Low,Low,Medium,Field,Yes,Popular in European vegetable farming.,,
Radish Plant,Australia,Victoria,Australia,No,Commercial,Temperate,Spring,September-December,8,24,500,900,55,75,0,600,Sandy Loam,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Field,Yes,Grown for domestic fresh markets.,,
Lemon,India,Andhra Pradesh,Asia,No,Commercial,Tropical,Year-round,January-December,18,35,700,1200,50,75,0,800,Well-drained Loamy,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,One of India's major lemon-producing states.,,
Lemon,India,Tamil Nadu,Asia,No,Commercial,Tropical,Year-round,January-December,20,36,600,1100,50,75,0,600,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Widely cultivated for domestic markets.,,
Lemon,India,Maharashtra,Asia,No,Commercial,Subtropical,Year-round,January-December,18,35,700,1200,50,75,0,700,Loamy,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Commercial citrus cultivation is common.,,
Lemon,USA,California,North America,No,Commercial,Mediterranean,Winter,November-April,12,30,300,700,50,70,0,600,Well-drained Loam,Moderate,Full Sun,Low,Medium,Medium,Low,Medium,Orchard,Yes,California produces high-quality lemons.,,
Lemon,Spain,Murcia,Europe,No,Commercial,Mediterranean,Winter,November-May,10,28,300,600,50,70,0,500,Sandy Loam,Moderate,Full Sun,Low,Medium,Medium,Low,Medium,Orchard,Yes,Murcia is a major lemon-exporting region.,,
Lemon,Italy,Sicily,Europe,No,Commercial,Mediterranean,Year-round,January-December,12,30,400,800,55,75,0,500,Volcanic Loam,Moderate,Full Sun,Low,Medium,Medium,Low,Medium,Orchard,Yes,Sicily is famous for premium lemons.,,
Lemon,Mexico,Veracruz,North America,No,Commercial,Tropical,Year-round,January-December,20,34,1000,1800,60,80,0,500,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Major citrus-growing region.,,
Lemon,Argentina,Tucumán,South America,No,Commercial,Subtropical,Winter,May-August,15,30,700,1200,50,75,300,800,Loamy,Moderate,Full Sun,Low,Medium,Medium,Low,Medium,Orchard,Yes,Argentina is one of the world's largest lemon exporters.,,
Lemon,South Africa,Limpopo,Africa,No,Commercial,Subtropical,Winter,May-August,15,32,400,900,50,70,0,800,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Large-scale commercial citrus production.,,
Lemon,Australia,Queensland,Australia,No,Commercial,Subtropical,Year-round,January-December,18,32,600,1200,55,75,0,500,Well-drained Loamy,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Commercial production for domestic and export markets.,,
Dahlia,Mexico,Mexico City,North America,Yes,Commercial,Temperate,Summer,June-September,10,25,600,1200,50,75,1500,2500,Well-drained Loamy,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Garden,Yes,Dahlia is the national flower of Mexico.,,
Dahlia,Mexico,Puebla,North America,Yes,Commercial,Temperate,Summer,June-September,12,24,700,1300,55,75,1800,2600,Fertile Loam,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Garden,Yes,Native habitat of many Dahlia species.,,
Dahlia,India,Karnataka,Asia,No,Commercial,Subtropical,Winter,November-February,15,28,600,1000,50,70,700,1000,Well-drained Loamy,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Flower Farm,Yes,Popular ornamental flower crop.,,
Dahlia,India,Tamil Nadu,Asia,No,Commercial,Tropical,Winter,November-February,18,30,600,1100,50,70,0,600,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Garden,Yes,Grown in gardens and commercial nurseries.,,
Dahlia,India,Himachal Pradesh,Asia,No,Commercial,Temperate,Spring,March-June,8,22,800,1500,60,80,1200,2500,Loamy,Moderate,Full Sun,High,Low,Low,Low,Medium,Garden,Yes,Thrives in cool hill climates.,,
Dahlia,Netherlands,South Holland,Europe,No,Commercial,Temperate,Summer,May-August,10,22,700,1000,60,80,0,200,Fertile Loam,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Flower Farm,Yes,Major exporter of dahlia tubers and flowers.,,
Dahlia,United Kingdom,England,Europe,No,Commercial,Temperate,Summer,June-September,8,22,600,1000,60,80,0,300,Loamy,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Garden,Yes,Popular ornamental garden plant.,,
Dahlia,USA,California,North America,No,Commercial,Mediterranean,Spring,April-July,12,26,300,700,50,70,0,800,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Flower Farm,Yes,Commercial production for cut flowers.,,
Dahlia,New Zealand,Canterbury,Oceania,No,Commercial,Temperate,Summer,December-March,10,24,500,900,55,75,0,600,Loamy,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Garden,Yes,Well suited to temperate climates.,,
Dahlia,Australia,Victoria,Oceania,No,Commercial,Temperate,Spring,September-December,10,25,500,900,55,75,0,600,Well-drained Loamy,Moderate,Full Sun,Medium,Low,Low,Low,Medium,Garden,Yes,Widely grown as an ornamental flowering plant.,,
Tuberose,India,Tamil Nadu,Asia,No,Commercial,Tropical,Year-round,January-December,20,35,700,1200,55,80,0,600,Well-drained Loamy,Moderate,Full Sun,Low,High,Medium,Low,Medium,Flower Farm,Yes,Tamil Nadu is a major producer of tuberose flowers.,,
Tuberose,India,Karnataka,Asia,No,Commercial,Tropical,Year-round,January-December,20,34,600,1100,55,80,500,900,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Flower Farm,Yes,Commercial cultivation for garlands and perfume.,,
Tuberose,India,West Bengal,Asia,No,Commercial,Tropical,Year-round,January-December,22,34,1200,1800,60,85,0,300,Alluvial Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Flower Farm,Yes,Large-scale cultivation for the flower market.,,
Tuberose,Mexico,Morelos,North America,Yes,Commercial,Tropical,Summer,May-September,20,32,800,1500,60,80,800,1500,Well-drained Loamy,Moderate,Full Sun,Low,Medium,Medium,Low,Medium,Garden,Yes,Native region of tuberose.,,
Tuberose,Mexico,Puebla,North America,Yes,Commercial,Subtropical,Summer,May-August,18,30,700,1200,55,75,1200,2200,Loamy,Moderate,Full Sun,Medium,Medium,Medium,Low,Medium,Flower Farm,Yes,Traditionally cultivated for ornamental use.,,
Tuberose,China,Yunnan,Asia,No,Commercial,Subtropical,Summer,April-September,18,30,900,1500,60,80,1000,2200,Fertile Loam,Moderate,Full Sun,Medium,Medium,Medium,Low,Medium,Flower Farm,Yes,Grown for the cut flower industry.,,
Tuberose,Thailand,Chiang Mai,Asia,No,Commercial,Tropical,Year-round,January-December,22,33,1000,1800,65,85,300,800,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Flower Farm,Yes,Popular ornamental flower crop.,,
Tuberose,Indonesia,Java,Asia,No,Commercial,Tropical,Year-round,January-December,22,32,1500,2500,70,90,0,1000,Volcanic Loam,High,Full Sun,Low,Medium,Low,Low,Medium,Flower Farm,Yes,Widely cultivated for fragrance and decoration.,,
Tuberose,Kenya,Nakuru,Africa,No,Commercial,Tropical,Year-round,January-December,18,28,700,1200,55,75,1500,2200,Loamy,Moderate,Full Sun,Medium,Low,Medium,Low,Medium,Flower Farm,Yes,Grown for export as cut flowers.,,
Tuberose,Australia,Queensland,Oceania,No,Commercial,Subtropical,Spring,September-December,18,30,600,1200,55,75,0,500,Well-drained Sandy Loam,Moderate,Full Sun,Low,Medium,Medium,Low,Medium,Garden,Yes,Cultivated in gardens and commercial flower farms.,,
Bougainvillea,Brazil,Rio de Janeiro,South America,Yes,Commercial,Tropical,Year-round,January-December,20,35,1000,1800,50,80,0,1200,Well-drained Sandy Loam,Low,Full Sun,Low,High,High,Medium,Medium,Garden,Yes,Bougainvillea is native to Brazil.,,
Bougainvillea,Brazil,São Paulo,South America,Yes,Commercial,Subtropical,Year-round,January-December,18,32,900,1600,50,75,0,1000,Loamy,Moderate,Full Sun,Low,High,Medium,Medium,Medium,Garden,Yes,Widely cultivated as an ornamental plant.,,
Bougainvillea,India,Tamil Nadu,Asia,No,Commercial,Tropical,Year-round,January-December,22,38,600,1200,50,75,0,600,Well-drained Loamy,Low,Full Sun,Low,High,High,Low,Medium,Garden,Yes,Common ornamental flowering vine.,,
Bougainvillea,India,Karnataka,Asia,No,Commercial,Tropical,Year-round,January-December,20,36,700,1200,50,75,500,900,Sandy Loam,Low,Full Sun,Low,High,High,Low,Medium,Garden,Yes,Popular in parks and home gardens.,,
Bougainvillea,India,Maharashtra,Asia,No,Commercial,Tropical,Year-round,January-December,20,37,600,1000,50,70,0,700,Loamy,Low,Full Sun,Low,High,High,Low,Medium,Garden,Yes,Thrives in hot and dry climates.,,
Bougainvillea,Mexico,Jalisco,North America,No,Commercial,Tropical,Year-round,January-December,20,34,700,1400,50,75,0,1200,Well-drained Sandy Soil,Low,Full Sun,Low,High,High,Medium,Medium,Garden,Yes,Widely planted along roadsides and gardens.,,
Bougainvillea,Australia,Queensland,Oceania,No,Commercial,Subtropical,Year-round,January-December,18,32,600,1200,50,75,0,600,Sandy Loam,Low,Full Sun,Low,High,High,Low,Medium,Garden,Yes,Grows well in warm coastal regions.,,
Bougainvillea,South Africa,Gauteng,Africa,No,Commercial,Subtropical,Year-round,January-December,18,32,500,900,45,70,1000,1800,Well-drained Loamy,Low,Full Sun,Low,High,High,Low,Medium,Garden,Yes,Popular ornamental shrub.,,
Bougainvillea,Spain,Andalusia,Europe,No,Commercial,Mediterranean,Spring,March-October,15,32,300,700,45,70,0,800,Sandy Loam,Low,Full Sun,Low,High,High,Medium,Medium,Garden,Yes,Common in Mediterranean landscapes.,,
Bougainvillea,United States,Florida,North America,No,Commercial,Subtropical,Year-round,January-December,18,33,900,1600,55,80,0,200,Well-drained Sandy Soil,Low,Full Sun,Low,High,Medium,Low,Medium,Garden,Yes,Widely used as an ornamental hedge.,,
Oleander,Morocco,Marrakesh,Africa,Yes,Commercial,Mediterranean,Spring,March-May,12,35,250,600,40,65,0,800,Well-drained Sandy Loam,Low,Full Sun,Medium,High,High,Medium,Medium,Garden,Yes,Native to the Mediterranean region.,,
Oleander,Spain,Andalusia,Europe,Yes,Commercial,Mediterranean,Spring,March-May,10,34,300,700,45,70,0,900,Sandy Loam,Low,Full Sun,Medium,High,High,Medium,Medium,Garden,Yes,Widely grown as an ornamental shrub.,,
Oleander,Italy,Sicily,Europe,Yes,Commercial,Mediterranean,Spring,April-June,12,33,400,800,50,70,0,1000,Loamy,Low,Full Sun,Medium,High,Medium,Medium,Medium,Garden,Yes,Common in coastal landscapes.,,
Oleander,Greece,Crete,Europe,Yes,Commercial,Mediterranean,Spring,April-June,12,32,350,700,45,70,0,900,Well-drained Loamy,Low,Full Sun,Medium,High,High,Medium,Medium,Garden,Yes,Thrives in warm dry climates.,,
Oleander,India,Tamil Nadu,Asia,No,Commercial,Tropical,Year-round,January-December,20,38,600,1200,50,75,0,600,Sandy Loam,Low,Full Sun,Low,High,High,Low,Medium,Garden,Yes,Popular ornamental flowering shrub.,,
